,price,name,brand,country_state,region,appellation,varietal,style,abv,taste,body,wine_adv_rating,customer_avg_rating,customer_total_ratings
2,199.99,"IL Poggione Brunello Montalcino, 2012",IL Poggione,Italy,Tuscany,Brunello di Montalcino,Red Blend,Elegant,,"Cherry, Spice, Cedar",Medium-bodied,95,5,4
3,89.99,"Mvemve Raats MR de Compostella, 2016",Raats Family Wines,South Africa,Stellenbosch,,Red Blend,,,,,92,,0
4,52.99,"Quinta das Carvalhas Tinta Francisca, 2016",Quinta das Carvalhas,Portugal,Douro,,Red Blend,Elegant,13,"Black Fruit, Chocolate",Full-bodied,92,2,1
0,89.99,"Secret Indulgence Secret Blend, 2016",Secret Indulgence,California,Napa Valley,,Red Blend,,,,,95,,0
1,79.99,"Bosquet des Papes Chante Merle Vieilles Vignes, 2009",Bosquet Des Papes,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,,,,,93,5,1
2,269.97,"Chapoutier Ermitage Les Greffieux, 2017",Chapoutier,France,Rhone,Hermitage,Rhone Blend,,,,,97,,0
3,109.97,"Delas Hermitage Domaine des Tourettes, 2016",Delas,France,Rhone,Crozes-Hermitage,Rhone Blend,Concentrated,,"Black Currant, Blackberry",Full-bodied,93,,0
4,111.99,"Domaine de Beaurenard Chateauneuf-du-Pape Cuvee Boisrenard, 2010",Beaurenard,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,,,,,91,,0
0,34.99,"Domaine Grand Veneur Lirac Sixte, 2011",Domaine Grand Veneur,France,Rhone,Lirac,Rhone Blend,Concentrated,15,"Blackberry, Spice",Full-bodied,90,,0
1,104.99,"Maison Denuziere Hermitage, 2015",Maison Denuziere,France,Rhone,Hermitage,Rhone Blend,Fresh,13,"Earth, Black Fruit, Pepper",Full-bodied,92,5,1
2,189.99,"Vieux Telegraphe Chateauneuf-du-Pape Rouge, 2018",Vieux Telegraphe,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,Intense,,"Black Fruit, Spice",Full-bodied,96,4.1,9
3,114.99,"Biondi Santi Rosso di Montalcino DOC, 2017",Biondi,Italy,Tuscany,Rosso di Montalcino,Sangiovese,Concentrated,,"Vanilla, Spice",Medium-bodied,94,,0
4,199.99,"Canalicchio Sopra Brunello di Montalcino La Casaccia, 2015",Canalicchio Sopra,Italy,Tuscany,Brunello di Montalcino,Sangiovese,Concentrated,,"Blueberry, Raspberry, Lavender",Full-bodied,98,,0
0,519.99,"Castellare I Sodi di San Niccolo, 2014",Castellare,Italy,Tuscany,Toscana,Sangiovese,Elegant,,"Berry, Cedar",Full-bodied,94,,0
1,39.99,"Fontodi Chianti Classico, 2013",Fontodi,Italy,Tuscany,Chianti Classico,Sangiovese,,,,,92,5,2
2,279.99,"Fontodi Flaccianello della Pieve, 2013",Fontodi,Italy,Tuscany,Toscana,Sangiovese,Elegant,,"Wild Berry, Mineral, Spice",Full-bodied,98,5,2
3,119.99,"Fontodi Vin Santo Chianti Classico, 2007",Fontodi,Italy,Tuscany,Chianti Classico,Sangiovese,Intense,,"Caramel, Raisin",Full-bodied,96,4,1
4,89.99,"Fuligni Brunello di Montalcino, 2014",Fuligni,Italy,Tuscany,Brunello di Montalcino,Sangiovese,Concentrated,,"Cherry, Plum, Cedar",Full-bodied,92,4,1
0,254.97,"Gaja Ca' Marcanda Camarcanda, 2016",Gaja,Italy,Tuscany,Toscana,Sangiovese,Concentrated,,"Berry, Cedar, Clove",Full-bodied,97,,0
1,399.99,"Gaja Ca' Marcanda Camarcanda, 2016",Gaja,Italy,Tuscany,Toscana,Sangiovese,Elegant,,"Cherry, Chocolate",Full-bodied,97,,0
2,99.99,"Il Marroneto Brunello di Montalcino, 2015",Il Marroneto,Italy,Tuscany,Brunello di Montalcino,Sangiovese,,,,,96,,0
3,34.99,"Petrolo Valdarno di Sopra Torrione, 2017",Petrolo,Italy,Tuscany,,Sangiovese,,,,,92,,0
4,81.99,"Uccelliera Brunello di Montalcino, 2015",Uccelliera,Italy,Tuscany,Brunello di Montalcino,Sangiovese,,,,,97,,0
0,63.99,"Gramercy Syrah The Deuce, 2014",Gramercy,Washington,Columbia Valley,Walla Walla,Syrah/Shiraz,,,,,94,,0
1,819.99,"Henschke Shiraz Hill of Grace, 2010",Henschke,Australia,Eden Valley,,Syrah/Shiraz,Elegant,,"Blackberry, Dark Fruit",Full-bodied,99,,0
2,299.99,"Hundred Acre Shiraz Deep Time, 2009",Hundred Acre,Australia,Barossa,,Syrah/Shiraz,,,"Dark Fruit, Spice",Full-bodied,94,,0
3,119.99,"Melka Majestique Syrah Paderewski Vineyard Paso Robles, 2016",Melka,California,Central Coast,Paso Robles,Syrah/Shiraz,Concentrated,15.2,"Black Fruit, Herb, Spice",Full-bodied,93,,0
4,64.97,"Pride Syrah, 2017",Pride,California,,,Syrah/Shiraz,,14.6,,,93,,0
0,126.99,"Two Hands Shiraz Coach House Block, 2016",Two Hands,Australia,Barossa,,Syrah/Shiraz,,,,,95,,0
1,249.97,"Artadi Rioja El Carretil, 2016",Artadi,Spain,Rioja,,Tempranillo,,14.5,,,97,5,1
2,56.99,"Bodegas Los Astrales Ribera del Duero, 2014",Astrales,Spain,Ribera del Duero,,Tempranillo,,,,,92,5,1
3,119.99,"Cune Real de Asua, 2016",Cune,Spain,Rioja,,Tempranillo,,14.2,,,93,,0
4,25.99,"El Pedrosal Ribera Del Duero, 2014",El Pedrosal,Spain,Ribera del Duero,,Tempranillo,,14,,,92,,0
0,239.97,"Carruades de Lafite Pauillac, 2008",Carruades de Lafite,France,Bordeaux,Pauillac,Bordeaux Blend,Elegant,12.5,"Blackberry, Currant",Medium-bodied,93,,0
1,99.99,"Ch Giscours Margaux, 2012",Chateau Giscours,France,Bordeaux,Margaux,Bordeaux Blend,Elegant,13.5,"Raspberry, Blackberry",Medium-bodied,90,4.3,3
2,"1,499.97","Chateau Ausone St Emilion, 2018",Chateau Ausone,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Concentrated,13.5,"Black Cherry, Raspberry, Oak",Full-bodied,100,,0
3,239.99,"Chateau Beau-Sejour Becot St Emilion, 2016",Chateau Beau-Sejour Becot,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Intense,13.5,"Raspberry, Black Fruit",Full-bodied,95,3.0,1
4,229.99,"Chateau Calon Segur St Estephe, 2000",Chateau Calon Segur,France,Bordeaux,Saint-Estephe,Bordeaux Blend,Concentrated,14,"Berry, Spice",Full-bodied,94,,0
0,129.99,"Chateau Canon La Gaffeliere St. Emilion, 2012",Chateau Canon la Gaffeliere,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Concentrated,14.5,"Boysenberry, Blackberry",Full-bodied,93,,0
1,599.97,"Chateau Cheval Blanc St Emilion, 2018",Chateau Cheval Blanc,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Intense,14,"Raspberry, Red Berry, Oak",Full-bodied,99,,0
2,89.99,"Chateau Haut Bages Liberal Pauillac, 2010",Chateau Haut Bages Liberal,France,Bordeaux,Pauillac,Bordeaux Blend,Concentrated,12.5,"Cassis, Black Fruit",Full-bodied,92,5.0,1
3,59.99,"Chateau Haut Batailley Pauillac, 2012",Chateau Haut Batailley,France,Bordeaux,Pauillac,Bordeaux Blend,Concentrated,13.5,"Cassis, Licorice",Medium-bodied,92,1.0,1
4,"2,299.99","Chateau Lafite Rothschild Pauillac, 2018",Chateau Lafite Rothschild,France,Bordeaux,Pauillac,Bordeaux Blend,Concentrated,12.5,"Cherry, Dark Berry, Oak",Full-bodied,100,,0
0,"4,599.99","Chateau Lafite Rothschild Pauillac, 2018",Chateau Lafite Rothschild,France,Bordeaux,Pauillac,Bordeaux Blend,Concentrated,12.5,"Cherry, Dark Berry, Oak",Full-bodied,100,,0
1,"1,499.97","Chateau Latour Pauillac, 2003",Chateau Latour,France,Bordeaux,Pauillac,Bordeaux Blend,Elegant,12.5,"Blackberry, Currant",Full-bodied,100,,0
2,"1,199.97","Chateau Margaux Margaux, 2003",Chateau Margaux,France,Bordeaux,Margaux,Bordeaux Blend,Concentrated,12.5,"Cassis, Mineral",Full-bodied,99,5.0,6
3,629.97,"Chateau Mouton Rothschild Pauillac, 2003",Chateau Mouton Rothschild,France,Bordeaux,Pauillac,Bordeaux Blend,Concentrated,13,"Blackberry, Mineral",Full-bodied,95,,0
4,499.99,"Chateau Pichon Baron Pauillac, 2016",Chateau Pichon Baron,France,Bordeaux,Pauillac,Bordeaux Blend,Elegant,13,"Dark Fruit, Truffle, Sandalwood",Full-bodied,97,4.7,3
0,999.99,"Chateau Pichon Baron Pauillac, 2016",Chateau Pichon Baron,France,Bordeaux,Pauillac,Bordeaux Blend,Elegant,13,"Dark Fruit, Truffle, Sandalwood",Full-bodied,97,4.7,3
1,74.99,"Duo de La Conseillante , 2015",Chateau La Conseillante,France,Bordeaux,Pomerol,Bordeaux Blend,Elegant,14.5,"Blueberry, Vanilla",Medium-bodied,90,,0
2,399.97,"La Mondotte St Emilion, 2010",La Mondotte,France,Bordeaux,Saint-Emilion,Bordeaux Blend,,15,,,99,,0
3,299.97,"Les Forts De Latour Pauillac, 2006",Les Forts De Latour,France,Bordeaux,Pauillac,Bordeaux Blend,Elegant,14,"Cassis, Cedar",Full-bodied,92,,0
4,74.99,"Mauro Molino Barolo Conca, 2015",Mauro Molino,Italy,Piedmont,Barolo,Bordeaux Blend,,14,,,94,,0
0,144.99,"Le Macchiole Paleo Rosso, 2017",Le Macchiole,Italy,Tuscany,,Cabernet Franc,Concentrated,,"Plum, Red Berry, Rose",Full-bodied,97,,0
1,179.99,"A Perfect Season Cabernet Sauvignon, 2014",A Perfect Season,California,Sonoma County,Knights Valley,Cabernet Sauvignon,Intense,,"Cassis, Blackberry, Chocolate",Full-bodied,95,,0
2,199.99,"Aloft Cabernet Howell Mountain, 2013",Aloft Wine,California,Napa Valley,Howell Mountain,Cabernet Sauvignon,,,,,96,,0
3,249.99,"Amici Cabernet Sauvignon Beckstoffer To-Kalon, 2018",Amici,California,Napa Valley,Oakville,Cabernet Sauvignon,Concentrated,14.9,"Dark Berry, Nutmeg",Full-bodied,97,5.0,1
4,199.99,"Amici Cabernet Sauvignon Oakville Ranch, 2018",Amici,California,Napa Valley,Oakville,Cabernet Sauvignon,Intense,14.5,"Dark Fruit, Cinnamon, Spice",Full-bodied,96,,0
0,199.99,"Arkenstone Red Obsidian Howell Mountain, 2014",Arkenstone,California,Napa Valley,Howell Mountain,Cabernet Sauvignon,,,,,94,,0
1,179.99,"Baldacci Cabernet Brendas Vineyard, 2011",Baldacci,California,Napa Valley,Stags Leap District,Cabernet Sauvignon,,14.5,,,90,,0
2,159.99,"Beckstoffer Cabernet Sauvignon Amulet, 2014",Beckstoffer,California,Napa Valley,,Cabernet Sauvignon,,,,,93,,0
3,169.99,"Betz Cabernet Pere de Famille, 2011",Betz,Washington,Columbia Valley,,Cabernet Sauvignon,Elegant,,"Red Fruit, Black Cherry, Cinnamon",Full-bodied,95,,0
4,269.99,"Blankiet Paradise Hill Red Estate Napa, 2013",Blankiet Estate,California,Napa Valley,Yountville,Cabernet Sauvignon,Intense,14.2,"Blackberry, Licorice",Full-bodied,98,2.0,1
0,"1,899.99","Bryant Family Vineyard Cabernet Sauvignon Napa, 2017",Bryant Family,California,Napa Valley,,Cabernet Sauvignon,Intense,,"Blackberry, Black Currant, Black Raspberry",Full-bodied,98,,0
1,169.99,"Carter Cellars Cabernet Weitz Vineyard, 2017",Carter,California,Napa Valley,,Cabernet Sauvignon,,,,,93,,0
2,149.97,"Cervantes Cabernet MMXVI Napa Valley, 2016",Cervantes Family Vineyards,California,Napa Valley,,Cabernet Sauvignon,,,,,96,,0
3,739.99,"Colgin Cabernet Napa Tychson Hill, 2017",Colgin,California,Napa Valley,,Cabernet Sauvignon,,,,,98,,0
4,649.99,"Colgin IX Napa Estate, 2016",Colgin,California,Napa Valley,,Cabernet Sauvignon,Intense,,"Dark Fruit, Red Fruit",Full-bodied,100,5.0,1
0,649.97,"Dominus, 2015",Dominus,California,Napa Valley,,Cabernet Sauvignon,Elegant,,"Wild Berry, Blackberry, Lavender",Full-bodied,100,,0
1,239.99,"Don Melchor Cabernet Sauvignon, 2016",Concha Y Toro,Chile,,,Cabernet Sauvignon,Elegant,,"Cassis, Blackberry",Medium-bodied,94,4.0,3
2,149.99,"Dunn Cabernet Howell Mountain, 2012",Dunn,California,Napa Valley,Howell Mountain,Cabernet Sauvignon,Concentrated,,"Currant, Cedar",Full-bodied,95,,0
3,599.99,"Frank Family Cabernet Napa, 2016",Frank Family,California,Napa Valley,,Cabernet Sauvignon,Intense,,"Black Cherry, Espresso",Medium-bodied,90,4.7,61
4,249.97,"Gaja Cabernet Darmagi, 2016",Gaja,Italy,Piedmont,Langhe,Cabernet Sauvignon,,,,,95,,0
0,189.99,"Kamen Cabernet Sauvignon Kashmir Sonoma Valley, 2008",Kamen,California,Sonoma County,Sonoma Valley,Cabernet Sauvignon,,,,,91,,0
1,199.99,"Kamen Cabernet Sauvignon, 2011",Kamen,California,,,Cabernet Sauvignon,,,,,92,,0
2,"2,999.99","Kathryn Hall Cabernet Napa, 2016",Hall,California,Napa Valley,Rutherford,Cabernet Sauvignon,Concentrated,,"Cassis, Cherry, Cedar",Full-bodied,97,4.5,17
3,219.99,"Ladera Cabernet Howell Mountain, 2013",Ladera,California,Napa Valley,Howell Mountain,Cabernet Sauvignon,Concentrated,,"Cassis, Plum, Mineral",Full-bodied,91,4.6,7
4,449.97,"Lokoya Cabernet Mt Veeder, 2014",Lokoya,California,Napa Valley,Mount Veeder,Cabernet Sauvignon,,,,,99,,0
0,18.99,"Maipe Cabernet Reserve, 2013",Maipe,Argentina,Mendoza,,Cabernet Sauvignon,Intense,14,"Blackberry, Chocolate",Full-bodied,88,4.0,5
1,89.98,"Melka CJ Cabernet Napa Valley, 2014",Melka,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.5,"Black Cherry, Raspberry, Oak",Full-bodied,94,5.0,3
2,399.97,"Newton Cabernet Yountville Single Vineyard, 2014",Newton,California,Napa Valley,Yountville,Cabernet Sauvignon,Concentrated,,"Boysenberry, Blackberry, Plum",Full-bodied,95,,0
3,599.97,"Opus One, 2005",Opus One,California,Napa Valley,,Cabernet Sauvignon,Elegant,,"Currant, Mineral, Cedar",Medium-bodied,95,,0
4,799.97,"Paul Hobbs Cabernet Las Piedras, 2015",Paul Hobbs,California,Napa Valley,St. Helena,Cabernet Sauvignon,Intense,,"Black Cherry, Plum, Cedar",Full-bodied,98,,0
0,659.99,"Ridge Montebello Cabernet, 2011",Ridge,California,Central Coast,Santa Cruz Mountains,Cabernet Sauvignon,Concentrated,,"Cassis, Mineral, Oak",Full-bodied,96,4.0,3
1,559.99,"Roy Estate Cabernet Sauvignon Napa, 2015",Roy Estate,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.5,"Black Currant, Blueberry",Full-bodied,96,5.0,1
2,469.99,"Roy Estate Proprietary Red Napa, 2013",Roy Estate,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.2,"Black Currant, Blueberry",Full-bodied,96,5.0,1
3,"3,499.97","Scarecrow Cabernet Napa, 2014",Scarecrow,California,Napa Valley,,Cabernet Sauvignon,Intense,,"Cassis, Blackberry, Boysenberry",,100,5.0,1
4,479.99,"Schrader Cabernet Sauvignon Beckstoffer CCS, 2018",Schrader,California,Napa Valley,,Cabernet Sauvignon,Intense,,"Black Currant, Blackberry, Cassis",Full-bodied,97,,0
0,589.97,"Shafer Cabernet Hillside Select, 2007",Shafer,California,Napa Valley,Stags Leap District,Cabernet Sauvignon,,,,,100,,0
1,259.99,"Sheridan Cabernet Block One Yakima, 2011",Sheridan Vineyard,Washington,Yakima Valley,,Cabernet Sauvignon,Intense,14.1,"Chocolate, Cassis",Full-bodied,96,3.6,8
2,149.99,"Sheridan Cabernet Block One Yakima, 2013",Sheridan Vineyard,Washington,Yakima Valley,,Cabernet Sauvignon,Intense,14.1,"Chocolate, Cassis",Full-bodied,97,5.0,1
3,159.99,"Vasse Felix Cabernet Tom Cullity, 2016",Vasse,Australia,,,Cabernet Sauvignon,,,,,95,,0
4,229.97,"Vina Cobos Volturno, 2009",Vina Cobos,Argentina,Mendoza,,Cabernet Sauvignon,,,,,98,,0
0,109.99,"Woodward Canyon Cabernet Artist, 2016",Woodward Canyon,Washington,Columbia Valley,,Cabernet Sauvignon,Intense,,"Cherry, Currant",Full-bodied,92,5.0,1
1,129.99,"Espectacle del Montsant, 2015",Espectacle del Montsant,Spain,Montsant,,Graciano,,,,,96,,0
2,56.99,"Betz Besoleil Grenache, 2011",Betz,Washington,,,Grenache,Elegant,,"Cherry, Raspberry, Floral",Medium-bodied,91,,0
3,119.99,"Pascual Toso Mendoza Magalena Toso, 2018",Pascual Toso,Argentina,,,Malbec,Concentrated,,"Berry, Black Currant, Cassis",Medium-bodied,93,,0
4,79.99,"Hourglass Blueline Estate Merlot, 2019",Hourglass,California,Napa Valley,,Merlot,,,,,95,1.0,1
0,274.99,"Le Macchiole Messorio, 2016",Le Macchiole,Italy,Tuscany,,Merlot,,,,,99,,0
1,169.99,"Melka Merlot Mekerra Vineyard Knights Valley, 2015",Melka,California,Sonoma County,Knights Valley,Merlot,Concentrated,14.5,"Black Fruit, Black Raspberry, Red Fruit",Full-bodied,95,,0
2,169.99,"Ceretto Barolo Prapo, 2014",Ceretto,Italy,Piedmont,Barolo,Nebbiolo,,,,,93,,0
3,149.99,"La Spinetta Barbaresco Valeirano, 2009",La Spinetta,Italy,Piedmont,Barbaresco,Nebbiolo,,,,,93,,0
4,109.99,"Parusso Barolo Bussia, 2015",Parusso,Italy,Piedmont,Barolo,Nebbiolo,,,,,94,,0
0,189.99,"Pio Cesare Barbaresco Il Bricco, 2012",Pio Cesare,Italy,Piedmont,Barbaresco,Nebbiolo,Concentrated,,"Berry, Chocolate, Cassis",Medium-bodied,90,4.0,1
1,149.99,"Sandrone Barolo Cannubi Boschis, 2012",Sandrone,Italy,Piedmont,Barolo,Nebbiolo,Elegant,,"Licorice, Tobacco",Full-bodied,94,5.0,1
2,139.99,"Sandrone Barolo le Vigne, 2009",Sandrone,Italy,Piedmont,Barolo,Nebbiolo,Concentrated,,"Floral, Spice",Full-bodied,95,,0
3,159.99,"Vietti Barolo Lazzarito, 2013",Vietti,Italy,Piedmont,Barolo,Nebbiolo,,,,,96,,0
4,74.99,"Bergstrom Pinot Noir Gregory Ranch, 2015",Bergstrom,Oregon,Willamette Valley,Yamhill-Carlton,Pinot Noir,Elegant,13.5,"Black Raspberry, Cherry",Full-bodied,93,,0
0,75.99,"Calera Pinot Noir Reed, 2016",Calera,California,Central Coast,,Pinot Noir,Elegant,,"Raspberry, Chocolate",Medium-bodied,93,,0
1,104.99,"DuMOL Pinot Noir Finn Russian River Valley, 2013",DuMOL,California,Sonoma County,Russian River Valley,Pinot Noir,Elegant,,"Red Fruit, Berry",Medium-bodied,92,,0
2,54.99,"Martin Ray Pinot Noir Hallberg Ranch Green Valley Russian River Valley, 2017",Martin Ray,California,Sonoma County,Green Valley,Pinot Noir,Intense,14.5,"Cherry, Raspberry, Nutmeg",Medium-bodied,91,5.0,1
3,59.99,"Peay Pinot Noir Pomarium, 2018",Peay,California,Sonoma County,Sonoma Coast,Pinot Noir,,,,,96,4.0,1
4,389.99,"Alvaro Palacios Quinon de Valmira Rioja, 2017",Alvaro Palacios,Spain,Rioja,,Red Blend,,,,,96,,0
0,48.97,"Cote Bonneville Carriage Dubrul, 2011",Cote Bonneville,Washington,Yakima Valley,,Red Blend,,,,,90,,0
1,199.99,"Hickinbotham The Peake Cab/Shiraz, 2015",Hickinbotham,Australia,,,Red Blend,,,,,97,,0
2,99.99,"Juslyn Perry's Blend, 2012",Juslyn,California,Napa Valley,,Red Blend,,,,,95,,0
3,63.99,"St Cosme Chateauneuf du Pape Rouge, 2017",Saint Cosme,France,Rhone,Chateauneuf-du-Pape,Red Blend,,,,,96,,0
4,499.97,"Chapoutier Ermitage Le Pavillon, 2017",Chapoutier,France,Rhone,Hermitage,Rhone Blend,,,,,100,,0
0,104.97,"Delas Cote Rotie Seigneur de Maugrion, 2016",Delas,France,Rhone,Cote Rotie,Rhone Blend,Intense,,"Black Fruit, Herb, Black Currant",Full-bodied,93,,0
1,64.97,"Delas Crozes Hermitage Le Clos, 2014",Delas,France,Rhone,Crozes-Hermitage,Rhone Blend,,,,,90,,0
2,64.97,"Delas Crozes Hermitage Le Clos, 2016",Delas,France,Rhone,Crozes-Hermitage,Rhone Blend,,,,,92,,0
3,93.99,"Delas Hermitage Domaine des Tourettes, 2013",Delas,France,Rhone,Hermitage,Rhone Blend,,,,,96,,0
4,99.99,"Delas Hermitage Domaine des Tourettes, 2014",Delas,France,Rhone,Crozes-Hermitage,Rhone Blend,Concentrated,,"Black Fruit, Herb, Mineral",Full-bodied,92,,0
0,249.97,"Delas Hermitage Les Bessards, 2016",Delas,France,Rhone,Hermitage,Rhone Blend,,,,,94,,0
1,199.97,"Domaine du Pegau Chateauneuf-du-Pape Cuvee Reserve, 2017",Domaine du Pegau,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,,,,,95,5.0,4
2,499.99,"Domaine du Pegau Chateauneuf-du-Pape Cuvee Reserve, 2012",Domaine du Pegau,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,,,,,94,5.0,4
3,449.99,"Guigal Cote Rotie La Landonne, 2012",E. Guigal,France,Rhone,Cote Rotie,Rhone Blend,Concentrated,,"Blackberry, Chocolate, Smoke",Full-bodied,99,,0
4,449.99,"Guigal Cote Rotie La Turque, 2012",E. Guigal,France,Rhone,Cote Rotie,Rhone Blend,Elegant,,"Blackberry, Floral, Chocolate",Full-bodied,100,,0
0,399.99,"Guigal Cote Rotie La Turque, 2014",E. Guigal,France,Rhone,Cote Rotie,Rhone Blend,,,,,96,,0
1,59.99,"Guigal St Joseph Lieu Dit Rouge, 2017",E. Guigal,France,Rhone,Saint-Joseph,Rhone Blend,,,,,93,,0
2,109.99,"Jaboulet Cornas Domaine St. Pierre, 2011",Jaboulet,France,Rhone,Cornas,Rhone Blend,,,,,93,,0
3,299.99,"Jaboulet Hermitage La Chapelle, 2013",Jaboulet,France,Rhone,Hermitage,Rhone Blend,Concentrated,,"Berry, Mineral, Mocha",Full-bodied,94,,0
4,549.97,"Saxum Red James Berry Vineyard, 2011",Saxum,California,Central Coast,Paso Robles,Rhone Blend,Intense,,"Berry, Smoke, Earth",Full-bodied,96,,0
0,279.97,"Canalicchio Sopra Brunello di Montalcino Riserva, 2012",Canalicchio Sopra,Italy,Tuscany,Brunello di Montalcino,Sangiovese,Intense,,"Berry, Dark Fruit, Licorice",Full-bodied,95,,0
1,39.99,"Canalicchio Sopra Rosso , 2017",Canalicchio Sopra,Italy,Tuscany,Rosso di Montalcino,Sangiovese,,,,,91,,0
2,104.99,"Castiglion Campo del Drago Brunello, 2013",Castiglion del Bosco,Italy,Tuscany,Brunello di Montalcino,Sangiovese,,,,,94,,0
3,169.99,"Fontodi Vigna del Sorbo Gran Selezione, 2013",Fontodi,Italy,Tuscany,Chianti Classico,Sangiovese,Intense,,"Red Fruit, Black Fruit",Medium-bodied,96,,0
0,399.99,"Gaja Ca' Marcanda Camarcanda, 2016",Gaja,Italy,Tuscany,Toscana,Sangiovese,Elegant,,"Cherry, Chocolate",Full-bodied,97,,0
0,29.99,"I Greppi Greppicante Bolgheri, 2012",I Greppi,Italy,Tuscany,Toscana,Sangiovese,Intense,13,"Blueberry, Toast",Full-bodied,89,4.0,2
1,249.99,"Le Potazzine Brunello Montalcino, 2015",Le Potazzine,Italy,Tuscany,Brunello di Montalcino,Sangiovese,Intense,,"Cherry, Spice",Full-bodied,97,5.0,1
2,54.99,"Sette Ponti Poggio al Lupo, 2018",Sette Ponti,Italy,Tuscany,,Sangiovese,Intense,,"Violet, Berry, Cedar",Full-bodied,92,,0
3,139.99,"Silvio Nardi Poggio Doria Brunello di Montalcino, 2015",Silvio Nardi,Italy,Tuscany,Brunello di Montalcino,Sangiovese,,,,,96,,0
4,379.97,"Alban Syrah Reva Estate, 2006",Alban,California,,,Syrah/Shiraz,,,,,100,,0
0,57.99,"Buty Rediviva of the Stones Walla Walla, 2012",Buty,Washington,Columbia Valley,,Syrah/Shiraz,,14,,,92,,0
1,99.99,"Chapoutier Crozes-Hermitage Les Varonniers, 2018",Chapoutier,France,Rhone,Crozes-Hermitage,Syrah/Shiraz,,,,,94,,0
2,199.99,"Clarendon Hills Astralis, 2011",Clarendon Hills,Australia,,,Syrah/Shiraz,,,,,96,,0
3,69.99,"Mitolo Savitar Shiraz, 2018",Mitolo,Australia,McLaren Vale,,Syrah/Shiraz,,,,,95,,0
4,59.99,"Spring Valley Syrah Nina Lee, 2012",Spring Valley,Washington,Columbia Valley,Walla Walla,Syrah/Shiraz,,15,,,93,5.0,1
0,129.99,"Yalumba Octavius Shiraz, 2014",Yalumba,Australia,Barossa,,Syrah/Shiraz,Intense,,"Blackberry, Boysenberry, Mocha",Full-bodied,93,,0
1,119.97,"Artadi Rioja San Lazaro, 2016",Artadi,Spain,Rioja,,Tempranillo,,14.5,,,96,,0
2,92.99,"Campo Eliseo Toro, 2005",Campo Eliseo,Spain,Toro,,Tempranillo,Elegant,,"Blackberry, Oak, Mocha",Full-bodied,91,,0
3,24.99,"Finca Sobreno Toro Crianza, 2008",Finca Sobreno,Spain,Toro,,Tempranillo,Fresh,14.5,"Black Cherry, Oak",Medium-bodied,89,,0
4,33.49,"Liberalia Toro Cuatro, 2013",Liberalia,Spain,Toro,,Tempranillo,Intense,14.5,"Blackberry, Licorice",Full-bodied,90,3.0,3
0,89.99,"Melka CJ Cabernet Napa Valley, 2013",Melka,California,Napa Valley,,Cabernet Sauvignon,Elegant,14.5,"Black Currant, Tobacco",Full-bodied,94,3.5,2
1,17.99,"Diosares Rioja Crianza, 2016",Diosares,Spain,Rioja,,Tempranillo,Concentrated,14.5,"Blackberry, Spice",Medium-bodied,91,4.2,65
2,479.99,"Chateau Beau-Sejour Becot St Emilion, 2016",Chateau Beau-Sejour Becot,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Intense,13.5,"Raspberry, Black Fruit",Full-bodied,95,3.0,1
3,61.99,"Chateau Beau-Sejour Becot St Emilion, 2016",Chateau Beau-Sejour Becot,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Intense,13.5,"Raspberry, Black Fruit",Full-bodied,95,3.0,1
4,199.99,"Chateau Beau-Sejour Becot St Emilion, 2017",Chateau Beau-Sejour Becot,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Concentrated,13.5,"Oak, Cherry, Raspberry",Full-bodied,96,,0
0,399.99,"Chateau Beau-Sejour Becot St Emilion, 2017",Chateau Beau-Sejour Becot,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Concentrated,13.5,"Oak, Cherry, Raspberry",Full-bodied,96,,0
1,49.99,"Chateau de L'Estang Cotes de Castillon, 2009",Chateau de L'Estang,France,Bordeaux,Castillon/Cotes de Bordeaux,Bordeaux Blend,Concentrated,13,"Black Currant, Black Cherry",Medium-bodied,90,4.0,1
2,99.99,"Chateau Du Tertre Margaux, 2010",Chateau du Tertre,France,Bordeaux,Margaux,Bordeaux Blend,Elegant,13,"Black Raspberry, Blackberry",Medium-bodied,93,4.5,2
3,29.99,"Chateau Ferran Pessac, 2016",Chateau Ferran,France,Bordeaux,Pessac-Leognan,Bordeaux Blend,Concentrated,14,"Allspice, Allspice",Full-bodied,91,,0
4,49.99,"Chateau Fombrauge St. Emilion, 2016",Chateau Fombrauge,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Concentrated,14.5,"Black Fruit, Chocolate",Full-bodied,92,5.0,1
