,price,name,brand,country_state,region,appellation,varietal,style,abv,taste,body,wine_adv_rating,customer_avg_rating,customer_total_ratings
4,89.99,"Domaine du Castel Grand Vin, 2014",Domaine du Castel,Israel,,,Red Blend,Oak,,"Currant, Cherry",,93,5,6
0,14.99,"J. Navascues Cutio Garnacha, 2019",Cutio,Spain,Carinena,,Red Blend,Elegant,14.5,"Red Fruit, Floral",Full-bodied,92,4.2,20
1,55.99,"Jonata Todos Red, 2015",Jonata,California,Santa Barbara,Santa Ynez,Red Blend,,,,,93,5,1
2,37.99,"Leviathan Red Blend California, 2016",Leviathan,California,,,Red Blend,Fresh,,"Black Raspberry, Red Cherry",Full-bodied,94,4.3,33
3,56.99,"Quinta das Carvalhas Old Vines (Vinas Velhas), 2018",Quinta das Carvalhas,Portugal,Douro,,Red Blend,Intense,14,"Black Fruit, Spice, Herb",Full-bodied,95,4.4,7
4,22.99,"Quinta das Carvalhas Reserva Douro, 2019",Quinta das Carvalhas,Portugal,Douro,,Red Blend,Elegant,20,"Violet, Blackberry",Medium-bodied,90,4.4,44
0,15.99,"Rapariga da Quinta Red, 2018",Rapariga da Quinta,Portugal,Alentejo,,Red Blend,Dry,14,"Blackberry, Spice, Blueberry",Medium-bodied,88,4.3,15
1,25.99,"Rapariga da Quinta Reserva, 2016",Rapariga da Quinta,Portugal,Alentejo,,Red Blend,Elegant,14.5,"Dark Fruit, Vanilla, Blackberry",Full-bodied,90,4.6,23
2,16.99,"Amadieu Cotes du Rhone Roulepierre, 2018",Pierre Amadieu,France,Rhone,Cotes du Rhone,Rhone Blend,Fresh,13.5,"Raspberry, Floral",Medium-bodied,88,4.3,26
3,36.99,"Amadieu Domaine Grand Romane Gigondas Vieilles Vignes, 2017",Pierre Amadieu,France,Rhone,Gigondas,Rhone Blend,Elegant,14.5,"Cherry, Herb",Full-bodied,94,4.6,18
